Лемма 	часть
китайский	a
каменный	a
капризный	a
карибский	a
ранний	a
разумный	a
квадратный	a
киевский	a
разный	a
различный	a
реальный	a
разговорный	a
прошлый	a
классный	a
клевый	a
радостный	a
рад	a
равный	a
равнодушный	a
приличный	a
мобильный	a
красивый	a
красный	a
крашеный	a
приставной	a
крепкий	a
кривой	a
кругленький	a
круглый	a
рабочий	a
прикольный	a
крупный	a
крутой	a
крытый	a
приемный	a
приятный	a
редкий	a
региональный	a
меньший	a
популярный	a
мамин	a
понятный	a
массовый	a
культурный	a
медицинский	a
международный	a
мелкий	a
польский	a
малюсенький	a
местный	a
полосатый	a
металлический	a
полный	a
миленький	a
полезный	a
милый	a
мировой	a
любезный	a
книжный	a
пьяный	a
пушкинский	a
путный	a
пустой	a
психологический	a
прямой	a
классический	a
крайний	a
любимый	a
любопытный	a
последний	a
порядочный	a
майский	a
португальский	a
маленький	a
малый	a
особенный	a
ответный	a
определенный	a
опытный	a
острый	a
оранжевый	a
осторожный	a
оригинальный	a
орловский	a
особый	a
ответственный	a
основной	a
отдельный	a
нерусский	a
несчастный	a
передний	a
неудобный	a
нехороший	a
нижний	a
отличный	a
мутный	a
отрицательный	a
обычный	a
обязанный	a
огромный	a
одесский	a
одетый	a
одинаковый	a
одинокий	a
низкий	a
однокомнатный	a
открытый	a
одноместный	a
отечественный	a
октябрьский	a
нереальный	a
опасный	a
оперный	a
противный	a
офигенный	a
общественный	a
общий	a
отстойный	a
нужный	a
коммерческий	a
проходной	a
коммунальный	a
профессиональный	a
официальный	a
протертый	a
простой	a
компьютерный	a
конкретный	a
контрольный	a
прозрачный	a
коричневый	a
короткий	a
папин	a
новенький	a
педагогический	a
новый	a
нормальный	a
носатый	a
ночной	a
параллельный	a
обыкновенный	a
младший	a
обалденный	a
обаятельный	a
обеденный	a
очередной	a
очаровательный	a
образованный	a
обратный	a
охранный	a
больной	a
влюбленный	a
хороший	a
шикарный	a
вкусненький	a
больничный	a
вечерний	a
бурный	a
холодный	a
вечный	a
храбрый	a
вкусный	a
умный	a
широкий	a
хорошенький	a
чкаловский	a
элементарный	a
эмоциональный	a
активный	a
взрослый	a
будущий	a
французский	a
школьный	a
боковой	a
шоколадный	a
фруктовый	a
химический	a
юридический	a
виноватый	a
безумный	a
ясненький	a
юный	a
видный	a
хитрый	a
худенький	a
финский	a
адекватный	a
хреновый	a
чудный	a
человеческий	a
белорусский	a
белый	a
чуткий	a
четкий	a
бедненький	a
учебный	a
черный	a
чужой	a
верный	a
важный	a
чертов	a
экономический	a
великолепный	a
чудесный	a
актуальный	a
биологический	a
ужасный	a
васильевский	a
электрический	a
честный	a
яркий	a
узкий	a
чистый	a
черненький	a
великий	a
беременный	a
армянский	a
фаршированный	a
электронный	a
беленький	a
бешеный	a
актерский	a
бесплатный	a
бедный	a
фантастический	a
постоянный	a
летний	a
поэтический	a
пошехонский	a
почтовый	a
лингвистический	a
похожий	a
литературный	a
личный	a
лишний	a
правильный	a
посторонний	a
лучший	a
ленинский	a
веселый	a
философский	a
целый	a
шутливый	a
бабушкин	a
предыдущий	a
математический	a
купеческий	a
курский	a
курсовой	a
лабораторный	a
ладненький	a
прелестный	a
лазерный	a
прекрасный	a
языковой	a
ласковый	a
левый	a
легкий	a
ленинградский	a
практический	a
лысый	a
правый	a
лесной	a
внимательный	a
ясный	a
чайный	a
внутренний	a
американский	a
бледный	a
блестящий	a
верхний	a
ближайший	a
близкий	a
быстрый	a
утренний	a
бывший	a
центральный	a
физический	a
хозяйственный	a
больший	a
японский	a
большой	a
божий	a
английский	a
богатый	a
благодарный	a
цветной	a
шерстяной	a
бодрый	a
внешний	a
боевой	a
желтый	a
худой	a
художественный	a
ядовитый	a
финансовый	a
частый	a
частный	a
благополучный	a
благородный	a
свободный	a
семейный	a
сельскохозяйственный	a
седой	a
сегодняшний	a
северный	a
святой	a
связанный	a
своеобразный	a
здоровый	a
западный	a
игровой	a
зимний	a
светлый	a
светленький	a
злой	a
знакомый	a
свежий	a
знаменитый	a
испанский	a
иностранный	a
родной	a
интеллектуальный	a
интеллигентный	a
родительский	a
интересненький	a
ровный	a
интересный	a
искусственный	a
свадебный	a
исторический	a
итальянский	a
рекламный	a
резной	a
розовый	a
серенький	a
серебряный	a
заочный	a
гордый	a
глухой	a
теоретический	a
темный	a
долгий	a
телефонный	a
голодный	a
голубой	a
голый	a
театральный	a
глупый	a
горный	a
тверской	a
твердый	a
городской	a
горький	a
горьковский	a
горячий	a
талантливый	a
газовый	a
золотистый	a
золотой	a
саратовский	a
самостоятельный	a
зубной	a
самовлюбленный	a
зеленый	a
толстый	a
занятый	a
тихий	a
типичный	a
генеральный	a
гениальный	a
технический	a
главный	a
глубокий	a
теплый	a
серый	a
забавный	a
заграничный	a
задний	a
синий	a
симпатичный	a
сильный	a
закрытый	a
замечательный	a
серьезный	a
жуткий	a
скучный	a
должен	a
соседний	a
домашний	a
дополнительный	a
дорогой	a
соответствующий	a
дорожный	a
следующий	a
служебный	a
женатый	a
сложный	a
женский	a
жесткий	a
живой	a
сливочный	a
слепой	a
драматический	a
жизненный	a
жирный	a
сладкий	a
слабый	a
удобный	a
скромный	a
журнальный	a
скорый	a
известный	a
смелый	a
слышный	a
железный	a
современный	a
садовый	a
идеальный	a
избыточный	a
рыжий	a
рыбный	a
жаркий	a
русский	a
изумительный	a
импортный	a
ростовский	a
индивидуальный	a
российский	a
романтичный	a
индийский	a
духовный	a
солнечный	a
соленый	a
древний	a
дружный	a
дурацкий	a
согласный	a
желтенький	a
советский	a
натуральный	a
собственный	a
душевный	a
еврейский	a
собачий	a
единственный	a
естественный	a
смешной	a
жареный	a
неизвестный	a
невероятный	a
невкусный	a
невозможный	a
письменный	a
недовольный	a
недорогой	a
нежный	a
незнакомый	a
пешеходный	a
неважный	a
резкий	a
некрасивый	a
